file,size,q,progressive
10580.jpg,4904,90,1
10581.jpg,73751,90,0
10582.jpg,12056,90,1
10583.jpg,3624,90,0
10584.jpg,3733,94,0
10585.jpg,315195,94,0
10586.jpg,75175,82,1
10587.jpg,46735,82,0
10588.jpg,107056,90,0
10589.jpg,10529,63,1
1059.jpg,14350,100,1
10590.jpg,58014,90,1
10591.jpg,61290,0,1
10592.jpg,34700,95,1
10593.jpg,117843,97,0
10594.jpg,315209,100,0
10595.jpg,158150,94,0
10596.jpg,11018,90,1
10597.jpg,54003,94,1
10598.jpg,15213,80,0
10599.jpg,15059,90,1
106.jpg,65565,100,0
1060.jpg,14185,90,0
10600.jpg,24907,82,0
10601.jpg,4445,96,0
10602.jpg,2321,95,0
10603.jpg,12033,80,1
10604.jpg,245808,90,0
10605.jpg,19854,82,0
10606.jpg,27765,82,0
10607.jpg,12221,100,0
10608.jpg,5323,85,0
10609.jpg,15421,40,1
1061.jpg,44160,99,0
10610.jpg,1.88036M,99,0
10611.jpg,52106,90,0
10612.jpg,39391,86,0
10613.jpg,197861,99,1
10614.jpg,112201,99,1
10615.jpg,12505,80,1
10616.jpg,2757,63,0
10617.jpg,1192,82,0
10618.jpg,175543,100,0
10619.jpg,75632,0,1
1062.jpg,111874,80,1
10620.jpg,47257,95,0
10621.jpg,4368,80,0
10622.jpg,11518,91,0
10623.jpg,163824,80,0
10624.jpg,22314,80,0
10625.jpg,1437470,99,1
10626.jpg,45005,99,0
10627.jpg,111576,91,1
10628.jpg,15180,82,0
10629.jpg,49500,99,0
1063.jpg,2655,85,0
10630.jpg,85389,82,0
10631.jpg,8509,90,1
10632.jpg,22671,76,1
10633.jpg,2.89468M,94,0
10634.jpg,57147,100,0
10635.jpg,166420,50,1
10636.jpg,16003,80,0
10637.jpg,37450,100,0
10638.jpg,747526,99,0
10639.jpg,63111,90,1
1064.jpg,19986,90,0
10640.jpg,37824,100,0
10641.jpg,229718,67,1
10642.jpg,22892,68,1
10643.jpg,28570,85,0
10644.jpg,25741,70,0
10645.jpg,279583,73,0
10646.jpg,38291,69,0
10647.jpg,42161,50,1
10648.jpg,51142,0,1
10649.jpg,598573,63,1
1065.jpg,18712,90,0
10650.jpg,36428,80,0
10651.jpg,56671,82,0
10652.jpg,4714,70,0
10653.jpg,109006,100,0
10654.jpg,7246,80,1
10655.jpg,125293,90,0
10656.jpg,21044,82,0
10657.jpg,505260,80,0
10658.jpg,1359,75,0
10659.jpg,19531,95,1
1066.jpg,954,63,1
10660.jpg,2947,82,0
10661.jpg,43268,80,0
10662.jpg,28182,82,0
10663.jpg,466533,99,0
10664.jpg,1.12146M,99,0
10665.jpg,7491,100,1
10666.jpg,293210,63,1
10667.jpg,17429,85,0
10668.jpg,4867,0,1
10669.jpg,27574,95,1
1067.jpg,4655,77,1
10670.jpg,17904,82,0
10671.jpg,53283,90,0
10672.jpg,296399,82,0
10673.jpg,77786,0,0
10674.jpg,2259,82,0
10675.jpg,94275,94,1
10676.jpg,984538,82,0
10677.jpg,6327,80,1
10678.jpg,8142,99,0
10679.jpg,97570,81,0
1068.jpg,1530,90,0
10680.jpg,12866,80,0
10681.jpg,1302,60,0
10682.jpg,926674,50,0
10683.jpg,110511,84,1
10684.jpg,19375,94,0
10685.jpg,262445,90,0
10686.jpg,1672,60,0
10687.jpg,13026,80,0
10688.jpg,23457,63,1
10689.jpg,91629,90,0
1069.jpg,8903,100,0
10690.jpg,212473,96,0
10691.jpg,18100,76,0
10692.jpg,1816,90,0
10693.jpg,47691,94,0
10694.jpg,61838,82,0
10695.jpg,77484,97,0
10696.jpg,24901,82,0
10697.jpg,44402,90,0
10698.jpg,18397,82,0
10699.jpg,59669,85,0
107.jpg,290474,91,1
1070.jpg,158217,99,0
10700.jpg,1064,70,0
10701.jpg,122546,100,0
10702.jpg,289755,97,0
10703.jpg,8052,85,0
10704.jpg,250797,99,0
10705.jpg,29602,75,0
10706.jpg,24176,90,1
10707.jpg,29189,85,0
10708.jpg,39268,60,0
10709.jpg,1.55396M,86,1
1071.jpg,39028,94,0
10710.jpg,13922,91,1
10711.jpg,5648,63,1
10712.jpg,68130,82,0
10713.jpg,41383,70,0
10714.jpg,2584,70,0
10715.jpg,8380,90,0
10716.jpg,1277,70,0
10717.jpg,388399,99,0
10718.jpg,67661,80,1
10719.jpg,52706,85,0
1072.jpg,12805,100,0
10720.jpg,696117,99,0
10721.jpg,68647,92,1
10722.jpg,1244,90,1
10723.jpg,8013,82,1
10724.jpg,201457,95,0
10725.jpg,6061,70,0
10726.jpg,12423,85,0
10727.jpg,10832,93,0
10728.jpg,7868,85,0
10729.jpg,34229,100,0
1073.jpg,107881,93,0
10730.jpg,342,85,0
10731.jpg,56636,70,0
10732.jpg,162706,100,0
10733.jpg,54112,70,1
10734.jpg,28221,85,0
10735.jpg,271913,98,0
10736.jpg,6090,92,0
10737.jpg,7296,85,1
10738.jpg,3306,82,0
10739.jpg,23640,69,0
1074.jpg,34454,82,0
10740.jpg,12622,82,0
10741.jpg,14939,90,0
10742.jpg,49439,82,0
10743.jpg,167197,80,1
10744.jpg,16746,53,0
10745.jpg,9332,75,0
10746.jpg,827562,36,0
10747.jpg,2897,82,0
10748.jpg,9984,82,0
10749.jpg,146027,82,0
1075.jpg,5061,75,0
10750.jpg,49477,0,1
10751.jpg,13244,82,0
10752.jpg,11692,80,0
10753.jpg,532501,95,1
10754.jpg,102122,82,1
10755.jpg,7.9541M,99,0
10756.jpg,55096,90,0
10757.jpg,11368,82,0
10758.jpg,21161,82,0
10759.jpg,37537,80,0
1076.jpg,2773,90,0
10760.jpg,8884,99,0
10761.jpg,15411,82,0
10762.jpg,34647,80,1
10763.jpg,28254,94,0
10764.jpg,7775,85,0
10765.jpg,18169,75,1
10766.jpg,3721,80,0
10767.jpg,89784,90,0
10768.jpg,4260,90,0
10769.jpg,79530,95,1
1077.jpg,21933,63,1
10770.jpg,9326,90,1
10771.jpg,122694,85,0
10772.jpg,41842,100,0
10773.jpg,444758,99,0
10774.jpg,3386,82,0
10775.jpg,28362,97,0
10776.jpg,1415,60,0
10777.jpg,7262,80,1
10778.jpg,24113,93,0
10779.jpg,216709,85,0
1078.jpg,16520,80,1
10780.jpg,52158,75,0
10781.jpg,1507,85,0
10782.jpg,14884,60,0
10783.jpg,53720,90,0
10784.jpg,30547,86,1
10785.jpg,199935,90,0
10786.jpg,4932,90,0
10787.jpg,39635,87,1
10788.jpg,4991,80,0
10789.jpg,22359,86,0
1079.jpg,12180,82,0
10790.jpg,6077,90,0
10791.jpg,13585,90,0
10792.jpg,50275,50,1
10793.jpg,6838,80,0
10794.jpg,25750,99,0
10795.jpg,14768,75,0
10796.jpg,3720,60,0
10797.jpg,44356,50,1
10798.jpg,272715,86,0
10799.jpg,3382,92,0
108.jpg,41054,90,0
1080.jpg,42768,82,0
10800.jpg,285933,99,0
10801.jpg,8670,85,0
10802.jpg,1445,99,1
10803.jpg,38771,95,1
10804.jpg,2855,95,0
10805.jpg,58152,99,0
10806.jpg,38867,62,0
10807.jpg,97637,99,0
10808.jpg,4732,92,0
10809.jpg,49640,90,0
1081.jpg,22871,94,0
10810.jpg,120799,80,0
10811.jpg,38821,85,0
10812.jpg,55590,91,1
10813.jpg,35975,99,1
10814.jpg,30287,82,0
10815.jpg,74889,100,0
10816.jpg,16420,97,0
10817.jpg,120374,100,0
10818.jpg,8540,82,0
10819.jpg,385239,94,0
1082.jpg,155302,55,1
10820.jpg,10820,90,0
10821.jpg,6468,94,0
10822.jpg,188762,72,0
10823.jpg,172993,85,0
10824.jpg,56051,89,1
10825.jpg,181168,90,0
10826.jpg,29279,90,0
10827.jpg,21256,85,0
10828.jpg,2438,80,1
10829.jpg,12619,94,0
1083.jpg,14215,0,1
10830.jpg,50952,69,1
10831.jpg,147668,92,0
10832.jpg,219185,91,0
10833.jpg,7361,82,0
10834.jpg,12506,85,1
10835.jpg,199940,99,1
10836.jpg,285611,92,0
10837.jpg,84662,82,0
10838.jpg,504705,99,0
10839.jpg,131615,92,0
1084.jpg,32758,80,1
10840.jpg,7080,99,0
10841.jpg,28301,77,0
10842.jpg,333040,80,0
10843.jpg,297947,99,0
10844.jpg,24800,82,0
10845.jpg,188529,93,0
10846.jpg,175788,86,0
10847.jpg,37644,80,1
10848.jpg,13423,83,1
10849.jpg,55515,99,0
1085.jpg,34513,97,0
10850.jpg,13198,85,0
10851.jpg,113670,99,0
10852.jpg,111196,99,0
10853.jpg,45750,90,0
10854.jpg,105376,94,0
10855.jpg,102511,80,0
10856.jpg,54113,94,0
10857.jpg,3124,85,0
10858.jpg,34046,88,1
10859.jpg,28491,93,0
1086.jpg,12106,85,0
10860.jpg,73011,70,0
10861.jpg,58638,80,0
10862.jpg,43421,90,0
10863.jpg,16224,0,1
10864.jpg,15222,80,0
10865.jpg,18157,80,1
10866.jpg,45161,94,1
10867.jpg,49123,75,0
10868.jpg,4256,86,0
10869.jpg,92339,90,1
1087.jpg,6489,63,1
10870.jpg,4588,75,0
10871.jpg,203960,99,0
10872.jpg,26107,93,1
10873.jpg,140275,94,0
10874.jpg,15708,85,0
10875.jpg,18822,85,0
10876.jpg,13837,82,0
10877.jpg,48092,70,0
10878.jpg,5942,82,0
10879.jpg,6992,63,1
1088.jpg,97441,92,0
10880.jpg,1.1974M,91,0
10881.jpg,119715,82,1
10882.jpg,960409,99,1
10883.jpg,41974,80,0
10884.jpg,59759,94,1
10885.jpg,714329,92,0
10886.jpg,93744,95,0
10887.jpg,1446,75,0
10888.jpg,6329,82,0
10889.jpg,85064,0,1
1089.jpg,4410,82,0
10890.jpg,2389,38,0
10891.jpg,13408,80,0
10892.jpg,1338,86,0
